open,high,low,volume,close
1.12757,1.13173,1.12628,100388.5,1.1316
1.13146,1.13756,1.13124,324819.4083,1.13729
1.1375,1.13798,1.13471,377004.1016,1.13582
1.13588,1.13655,1.13494,99738.3008,1.13539
1.13541,1.13638,1.13493,99898.0996,1.13549
1.13543,1.13715,1.13462,103292.2012,1.13554
1.13547,1.13554,1.12828,101680.4004,1.12891
1.12915,1.13197,1.12804,320638.1934,1.13021
1.13022,1.13278,1.12758,382073.9023,1.1283
1.12837,1.12862,1.12614,103716.5,1.12635
1.12633,1.12745,1.12497,105566.5,1.12607
1.12613,1.12665,1.12189,107253.1992,1.1251
1.12473,1.1286,1.12388,102637.7988,1.12544
1.1255,1.13322,1.1251,323780.7031,1.13103
1.1312,1.13247,1.13035,373459.2032,1.1322
1.13233,1.13375,1.13067,103168.3008,1.13264
1.13275,1.13323,1.13174,98443.6016,1.1325
1.13246,1.13342,1.13104,98285.7988,1.13249
1.13226,1.13248,1.12501,107180.6016,1.126
1.12567,1.12959,1.12244,318653.1934,1.12332
1.12338,1.13095,1.12279,375577.4961,1.12577
1.12635,1.12963,1.12547,103831.3008,1.12627
1.12617,1.12702,1.12416,106153.7012,1.12506
1.12463,1.12687,1.12403,106714.2988,1.12584
1.12582,1.12878,1.1244,106636.498,1.12591
1.12572,1.12728,1.12451,281803.2066,1.12514
1.12506,1.12684,1.12414,375227.7969,1.12663
1.1249,1.1269,1.12349,82909.9004,1.12418
1.12408,1.12442,1.12198,104266.6992,1.12262
1.12274,1.12357,1.12156,104831.0996,1.12249
1.12226,1.12294,1.11574,107848.2988,1.11713
1.11699,1.11899,1.11233,325209.7969,1.11434
1.11428,1.11635,1.11343,372568.8007,1.11428
1.11485,1.11522,1.11304,100214.0996,1.11394
1.11388,1.11408,1.11155,102734.002,1.11252
1.11245,1.11293,1.10792,104208.002,1.11035
1.11035,1.11171,1.10545,103053.4004,1.10669
1.1066,1.1134,1.10599,324152.9063,1.1126
1.1125,1.11483,1.11162,372147.8985,1.11392
1.1138,1.11475,1.11141,102129.5996,1.11178
1.1116,1.11166,1.10914,106241.6992,1.11069
1.11071,1.11327,1.11027,106340.998,1.11179
1.1117,1.11291,1.10793,106779.8008,1.11197
1.11198,1.11414,1.10998,324352.9004,1.1109
1.11107,1.11268,1.10954,369071.5938,1.11185
1.11193,1.11226,1.10843,100526.0996,1.10856
1.10855,1.10947,1.10794,104291.1016,1.10838
1.10836,1.10855,1.09848,106101.2988,1.10026
1.10058,1.1016,1.09756,106006.2012,1.0997
1.0994,1.10083,1.09028,324246.1954,1.09391
1.09381,1.09446,1.08846,372445.3047,1.09226
1.09203,1.09364,1.09174,100163.4004,1.09204
1.09201,1.09358,1.09194,105029.7988,1.09276
1.09292,1.09456,1.08962,106148.2012,1.09253
1.09252,1.09278,1.08651,108808.8008,1.08772
1.08744,1.08855,1.08363,323654.8067,1.08805
1.0879,1.08933,1.08714,379413.4961,1.08761
1.08566,1.08736,1.08493,100573.3008,1.08713
1.08714,1.08776,1.08617,103165.4024,1.08699
1.08699,1.09184,1.08636,103277.1016,1.09061
1.09063,1.09118,1.08806,102902.3984,1.08908
1.08913,1.09149,1.08453,324640.0059,1.0868
1.08682,1.08947,1.08579,374481.4063,1.08735
1.0874,1.0874,1.0799,104106.5,1.08332
1.08342,1.08499,1.08254,105613.998,1.08423
1.08448,1.08673,1.08373,103229.6992,1.08573
1.08557,1.08592,1.0793,101537.2988,1.08131
1.08105,1.09066,1.08083,324721.5938,1.08946
1.08942,1.09096,1.08509,377016.5079,1.08542
1.08544,1.08805,1.08478,100838.8984,1.08606
1.08599,1.0876,1.08313,104005.0996,1.08395
1.08382,1.08931,1.0838,105808.1016,1.08921
1.08883,1.09298,1.08833,106726.7012,1.09123
1.09137,1.09194,1.08862,326632.7051,1.09009
1.09025,1.09042,1.0865,375893.1992,1.0886
1.08856,1.08882,1.08418,102160.1992,1.08589
1.08575,1.08627,1.08415,102962.5,1.08507
1.0849,1.08765,1.08391,107150.5996,1.08684
1.08675,1.08742,1.08097,104915.7012,1.08399
1.08395,1.09125,1.0839,328538.0938,1.08869
1.08866,1.08911,1.0863,371942.9024,1.08811
1.08843,1.08981,1.08769,107444.5,1.08892
1.08872,1.08942,1.08688,102673.2988,1.08765
1.08777,1.09226,1.08708,102352.1992,1.09079
1.09095,1.09493,1.08852,103292.1992,1.09393
1.09422,1.09974,1.09369,325166.1973,1.09651
1.09654,1.09905,1.09592,375419.5976,1.09847
1.09943,1.09953,1.0976,94215.6992,1.09776
1.09744,1.10028,1.09705,104518.5996,1.09832
1.09848,1.10138,1.09697,103441.4004,1.09819
1.09805,1.09881,1.09517,105781.1992,1.09748
1.09765,1.09842,1.09546,320556.8027,1.09615
1.09614,1.09757,1.09573,271023.0001,1.09675
1.09668,1.09713,1.09358,98001.8008,1.09402
1.09421,1.09464,1.09272,106142.2988,1.09294
1.09312,1.0943,1.08564,105932.3008,1.08662
1.08642,1.08664,1.0831,104530.7988,1.08527
1.08535,1.08906,1.08442,314377.001,1.08569
1.08586,1.08593,1.08029,373047.1016,1.08079
1.08117,1.08182,1.07672,108057.2988,1.07793
1.07772,1.0801,1.07616,110510.3984,1.07816
1.07811,1.08096,1.07666,103491.3008,1.07994
1.08021,1.0823,1.07758,106881.5996,1.07865
1.07873,1.08591,1.0785,325612.8027,1.08468
1.08508,1.08725,1.08319,375877.9023,1.08474
1.08495,1.08511,1.08064,105546.1016,1.08285
1.08293,1.08493,1.08158,107355.002,1.08322
1.08325,1.08443,1.08189,105906.0996,1.08329
1.08336,1.08715,1.08089,104968.5,1.08591
1.08558,1.09257,1.08552,320680.6953,1.09085
1.09088,1.09505,1.09035,372382.2968,1.0943
1.09444,1.09491,1.09216,103451.0996,1.09261
1.09251,1.09642,1.09232,106457.0976,1.09588
1.09597,1.0969,1.09294,102593.5,1.09445
1.0948,1.09498,1.09159,92679.5976,1.09298
1.10037,1.10941,1.0999,324500.1075,1.10909
1.10911,1.11126,1.1084,374283.1953,1.11049
1.11043,1.11074,1.10794,105731.1016,1.10991
